rideid,startpoint,endpoint,starttime,endtime,vehicleid,subscriptionid,startlockid,endlockid
15,"(51.2083,4.44595)","(51.1938,4.40228)",2019-09-22 08:46:43.000000,2019-09-22 09:01:36.000000,844,13296,4849,3188
17,"(51.2088,4.40834)","(51.2077,4.39846)",2019-09-22 08:27:38.000000,2019-09-22 08:30:25.000000,3419,25722,2046,1951
18,"(51.2023,4.41208)","(51.2119,4.39894)",2019-09-22 08:41:48.000000,2019-09-22 08:46:52.000000,1208,31000,1821,2186
19,"(51.1888,4.45039)","(51.2221,4.40467)",2019-09-22 08:50:08.000000,2019-09-22 09:09:02.000000,5536,59732,6382,2700
21,"(51.2038,4.42077)","(51.2055,4.39933)",2019-09-22 08:05:17.000000,2019-09-22 08:14:44.000000,4045,31055,1388,3401
22,"(51.2191,4.3949)","(51.2281,4.409)",2019-09-22 08:39:11.000000,2019-09-22 08:44:46.000000,2015,65164,2572,13
23,"(51.2182,4.41238)","(51.209,4.43266)",2019-09-22 08:23:27.000000,2019-09-22 08:30:02.000000,5298,71164,50,2067
25,"(51.2179,4.41777)","(51.211,4.40724)",2019-09-22 08:48:14.000000,2019-09-22 08:52:45.000000,1400,999,985,2148
26,"(51.2088,4.40834)","(51.2145,4.44373)",2019-09-22 08:14:52.000000,2019-09-22 08:25:33.000000,957,59847,2039,3038
27,"(51.1744,4.40334)","(51.2228,4.42426)",2019-09-22 08:51:13.000000,2019-09-22 09:10:49.000000,5413,5045,5619,2717
28,"(51.25,4.4209)","(51.25,4.4209)",2019-09-22 08:13:57.000000,2019-09-22 08:13:57.000000,2658,65816,3531,3554
29,"(51.2011,4.439)","(51.2069,4.43013)",2019-09-22 08:25:19.000000,2019-09-22 08:28:33.000000,1925,38399,4940,1218
31,"(51.2311,4.41267)","(51.2171,4.39924)",2019-09-22 08:40:52.000000,2019-09-22 08:46:17.000000,1572,64470,574,2440
32,"(51.2155,4.42551)","(51.228,4.41899)",2019-09-22 08:12:54.000000,2019-09-22 08:18:24.000000,3572,29704,1056,792
33,"(51.1735,4.35219)","(51.1777,4.35008)",2019-09-22 08:43:14.000000,2019-09-22 08:45:09.000000,2602,11005,6038,5980
34,"(51.2179,4.41777)","(51.2088,4.38734)",2019-09-22 08:30:44.000000,2019-09-22 08:42:01.000000,1475,68761,982,2015
35,"(51.2229,4.40622)","(51.1968,4.40579)",2019-09-22 08:04:55.000000,2019-09-22 08:15:23.000000,1398,75744,1117,677
36,"(51.179,4.39048)","(51.2069,4.43013)",2019-09-22 08:08:45.000000,2019-09-22 08:26:31.000000,970,33762,6421,1208
37,"(51.224,4.3779)","(51.2201,4.38179)",2019-09-22 08:35:57.000000,2019-09-22 08:37:30.000000,4169,52767,483,511
38,"(51.1925,4.42158)","(51.2183,4.41409)",2019-09-22 08:07:25.000000,2019-09-22 08:15:33.000000,4032,69491,3316,2517
40,"(51.2261,4.42638)","(51.2043,4.46124)",2019-09-22 08:52:17.000000,2019-09-22 09:03:52.000000,1920,74610,6539,7205
41,"(51.2043,4.46124)","(51.2062,4.38336)",2019-09-22 08:10:29.000000,2019-09-22 08:45:25.000000,90,75277,7201,7541
42,"(51.2281,4.40573)","(51.2297,4.40572)",2019-09-22 08:37:36.000000,2019-09-22 08:38:01.000000,352,28678,2936,607
43,"(51.2183,4.41409)","(51.2148,4.39251)",2019-09-22 08:03:38.000000,2019-09-22 08:10:09.000000,100,73081,2507,2365
44,"(51.1692,4.36344)","(51.2282,4.41337)",2019-09-22 08:56:33.000000,2019-09-22 09:19:26.000000,3942,30249,6830,632
45,"(51.2216,4.4005)","(51.2305,4.40769)",2019-09-22 08:19:04.000000,2019-09-22 08:23:33.000000,1152,11577,615,4172
46,"(51.2298,4.45141)","(51.2243,4.39907)",2019-09-22 08:14:54.000000,2019-09-22 08:35:16.000000,1555,44249,4263,2722
47,"(51.1908,4.38101)","(51.2179,4.41777)",2019-09-22 08:42:10.000000,2019-09-22 08:59:06.000000,488,40332,6170,983
48,"(51.2272,4.42228)","(51.2016,4.42358)",2019-09-22 08:05:38.000000,2019-09-22 08:12:39.000000,2733,30331,1542,1012
49,"(51.211,4.39035)","(51.2314,4.40357)",2019-09-22 08:53:52.000000,2019-09-22 09:01:31.000000,5571,31422,2139,527
50,"(51.2281,4.40573)","(51.2291,4.42473)",2019-09-22 08:25:54.000000,2019-09-22 08:31:08.000000,2701,56516,2962,2973
53,"(51.2038,4.44423)","(51.1931,4.408)",2019-09-22 08:49:18.000000,2019-09-22 09:02:53.000000,4115,28308,4917,1613
54,"(51.1998,4.43047)","(51.2333,4.40311)",2019-09-22 08:37:36.000000,2019-09-22 08:51:08.000000,152,31078,1262,4090
55,"(51.1803,4.38105)","(51.2228,4.42426)",2019-09-22 08:47:44.000000,2019-09-22 09:07:32.000000,786,16453,5854,2701
56,"(51.2282,4.41337)","(51.2177,4.42062)",2019-09-22 08:15:19.000000,2019-09-22 08:20:29.000000,3942,22539,632,2457
57,"(51.2201,4.38179)","(51.213,4.42176)",2019-09-22 08:57:04.000000,2019-09-22 09:11:42.000000,2022,64235,513,2242
58,"(51.1803,4.43375)","(51.2183,4.41409)",2019-09-22 08:55:35.000000,2019-09-22 09:09:02.000000,1380,27125,5378,2508
59,"(51.213,4.42176)","(51.2276,4.43921)",2019-09-22 08:36:31.000000,2019-09-22 08:46:04.000000,1111,2767,2244,258
61,"(51.211,4.39035)","(51.2179,4.41777)",2019-09-22 08:25:21.000000,2019-09-22 08:36:48.000000,1799,46644,2141,981
62,"(51.2201,4.43269)","(51.1999,4.41879)",2019-09-22 08:36:59.000000,2019-09-22 08:48:01.000000,3412,53280,3125,1724
63,"(51.2171,4.39924)","(51.211,4.39035)",2019-09-22 08:47:13.000000,2019-09-22 08:50:12.000000,2005,28532,2432,2137
64,"(51.2008,4.39421)","(51.2318,4.42699)",2019-09-22 08:41:49.000000,2019-09-22 08:59:39.000000,1324,9648,1730,3080
65,"(51.2553,4.43578)","(51.2237,4.40297)",2019-09-22 08:08:47.000000,2019-09-22 08:27:50.000000,799,68465,3737,702
66,"(51.2314,4.40357)","(51.1876,4.4351)",2019-09-22 08:05:37.000000,2019-09-22 08:25:51.000000,2779,41111,535,5297
67,"(51.2165,4.39375)","(51.1705,4.39471)",2019-09-22 08:30:12.000000,2019-09-22 08:47:20.000000,1793,56666,1494,5591
68,"(51.2536,4.4232)","(51.228,4.41899)",2019-09-22 08:19:50.000000,2019-09-22 08:28:27.000000,106,52637,3494,779
69,"(51.2012,4.40224)","(51.2297,4.40572)",2019-09-22 08:20:12.000000,2019-09-22 08:27:50.000000,628,74023,1797,591
70,"(51.2515,4.44805)","(51.2216,4.4005)",2019-09-22 08:48:49.000000,2019-09-22 09:07:41.000000,765,38880,3821,626
