vehicleid,serialnumber,bikelotid,lastmaintenanceon,lockid,position
1,1000,1,2020-01-19 02:14:57.000000,,"(51.1968,4.40579)"
2,2000,1,2020-03-08 01:49:24.000000,,"(51.2177,4.42075)"
3,3000,1,2020-06-01 12:37:26.000000,1568,"(51.1926,4.42151)"
4,4000,1,2020-02-27 03:13:56.000000,,"(51.2311,4.41267)"
5,5000,1,2021-03-21 03:38:31.000000,,"(51.2177,4.42075)"
6,6000,1,2020-06-16 21:44:19.000000,,"(51.2195,4.41169)"
7,7000,1,2019-10-01 10:29:21.000000,1556,"(51.2273,4.4307)"
8,8000,1,2019-12-06 17:09:49.000000,,"(51.2047,4.39625)"
9,9000,1,2020-01-01 10:06:51.000000,,"(51.2058,4.41837)"
10,10000,1,2019-12-12 09:04:02.000000,,"(51.2008,4.39421)"
11,11000,1,2019-12-22 10:20:54.000000,,"(51.2148,4.39632)"
12,12000,1,2019-10-21 17:55:13.000000,,"(51.2195,4.41169)"
13,13000,1,2019-10-01 19:15:22.000000,,"(51.1968,4.40579)"
14,14000,1,2020-08-10 20:43:37.000000,,"(51.2088,4.40834)"
15,15000,1,2020-10-30 21:35:40.000000,,"(51.2224,4.43004)"
16,16000,1,2023-09-12 17:14:09.000000,6840,"(51.1692,4.36344)"
17,17000,1,2019-10-09 11:54:35.000000,,"(51.2281,4.409)"
18,18000,1,2019-12-20 21:25:39.000000,,"(51.2104,4.38767)"
19,19000,1,2023-09-05 19:27:31.000000,2142,"(51.211,4.39035)"
20,20000,1,2019-10-01 15:38:59.000000,,"(51.2047,4.39625)"
21,21000,1,2019-09-22 07:50:32.000000,,"(51.2038,4.42077)"
22,22000,1,2020-02-15 05:55:58.000000,,"(51.2297,4.40572)"
23,23000,1,2020-07-09 05:44:30.000000,,"(51.2058,4.41837)"
24,24000,1,2020-03-10 03:54:55.000000,,"(51.2311,4.41267)"
25,25000,1,2019-10-14 05:04:07.000000,,"(51.2229,4.40622)"
26,26000,1,2019-11-18 21:36:02.000000,,"(51.2008,4.39808)"
27,27000,1,2019-09-21 02:34:44.000000,2489,"(51.2183,4.41409)"
